Iteration	Ident	Success
47	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
48	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
49	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
50	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
51	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
52	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
53	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
54	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
57	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
58	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
59	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
60	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
61	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
62	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
64	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
65	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
66	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
69	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
70	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
73	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
74	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
75	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
77	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
78	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
79	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
80	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
81	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
82	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
83	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
84	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
85	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
86	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
87	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
88	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
89	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
90	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
91	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
92	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
93	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	True
94	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
95	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
96	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
96	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
97	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
97	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
98	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
99	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
100	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
100	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
101	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
102	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
103	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
104	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
105	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
106	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
107	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
107	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
108	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
109	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
109	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
110	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
111	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
112	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
113	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
114	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
115	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
116	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
117	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
118	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
119	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
120	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
121	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
122	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
123	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
124	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
125	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
126	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
127	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
128	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
129	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
130	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
131	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
132	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
133	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
134	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	False
135	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
137	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
138	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
139	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
140	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
141	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
142	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
143	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
144	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
145	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
146	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
146	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
148	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
149	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
150	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
151	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
152	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
153	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
154	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
155	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
156	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
157	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
157	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
159	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
159	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
160	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
161	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
162	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
163	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
163	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
164	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
165	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
166	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
166	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
167	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
167	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
168	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
168	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
169	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
170	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
171	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
172	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
173	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
174	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
175	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
176	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
177	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
178	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	False
179	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
180	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
181	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
182	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
183	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
184	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
185	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
186	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
187	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
188	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
189	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
190	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
191	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
192	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
193	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
194	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
195	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
196	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
197	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
198	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
199	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
200	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
201	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
202	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
203	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
204	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
205	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
206	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
207	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
208	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
209	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
211	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
212	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
213	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
214	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
215	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
216	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
217	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
218	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
219	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
220	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
221	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
222	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
223	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
224	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
225	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
226	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
227	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
228	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
229	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
230	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
231	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
232	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
233	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
234	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__grasp_right	True
235	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
236	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
237	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
238	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
240	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
241	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
242	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
243	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
244	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
245	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
246	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
247	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
248	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
249	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
250	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
251	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
252	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
253	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
254	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
255	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
256	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
257	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
258	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
259	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
260	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
261	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
262	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
263	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
263	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
264	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
265	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
266	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
267	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
268	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
269	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
270	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
271	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
272	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
273	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
274	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
275	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
276	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
277	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
278	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
279	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
280	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
281	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
282	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
284	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
285	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
286	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
287	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
289	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
290	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
291	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
292	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
296	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
297	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
298	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
299	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
300	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
301	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
302	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
303	effectance_pnode	False
304	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
305	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
307	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
308	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
309	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
310	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
311	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
312	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
313	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
314	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
315	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
316	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
317	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
318	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
319	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
320	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
320	pnode_GRIPPER_AND_LOW_FRICTION__reach_pnode_0__press_button	True
321	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
322	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
323	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
324	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
325	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
326	pnode_GRIPPER_AND_LOW_FRICTION__reach_pnode_0__press_button	True
327	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
328	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
329	pnode_GRIPPER_AND_LOW_FRICTION__reach_pnode_0__press_button	False
330	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
331	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
332	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
333	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
334	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
335	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
336	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
337	effectance_pnode	False
338	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
339	pnode_GRIPPER_AND_LOW_FRICTION__reach_pnode_0__press_button	True
340	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
341	pnode_GRIPPER_AND_LOW_FRICTION__reach_pnode_0__press_button	False
342	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
343	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
344	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
346	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
347	pnode_GRIPPER_AND_LOW_FRICTION__reach_pnode_0__press_button	True
348	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
349	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
350	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
351	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
352	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
353	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
354	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
355	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
357	pnode_GRIPPER_AND_LOW_FRICTION__reach_pnode_0__press_button	False
358	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
359	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
360	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
362	pnode_GRIPPER_AND_LOW_FRICTION__reach_pnode_0__press_button	False
363	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
364	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
365	pnode_GRIPPER_AND_LOW_FRICTION__reach_pnode_0__press_button	False
368	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
369	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
370	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
371	pnode_GRIPPER_AND_LOW_FRICTION__reach_pnode_0__press_button	False
372	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
373	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
374	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
375	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
